"TIPO CAPACITACIÓN (CURSO, TALLER)","MODALIDAD (PRESENCIAL, VIRTUAL)",TEMÁTICA DEL CURSO O TALLER,COMPONENTE SNA,FECHA DE REALIZACIÓN,Mes,Trimestre,Género,Edad,Nivel de Gobierno (de la entidad),Departamento (donde se ubica la entidad - UE),¿A qué sector pertenece su entidad?,Área donde labora en la entidad,Puesto que ocupa en la entidad,Las funciones / actividades principales que desarrolla en el puesto están relacionadas a:,Estudios,¿CUÁL ES SU MODALIDAD DE CONTRATACIÓN EN LA ENTIDAD?,Nombre de la entidad (Unidad Ejecutora),Codigo UE,persona_id
TALLER,VIRTUAL,REGISTRO DE INFORMACIÓN DE BIENES INMUEBLES Y SU ASEGURAMIENTO EN EL REPOSITORIO DE BIENES DE LA DIRECCIÓN GENERAL DE ABASTECIMIENTO,Administración de Bienes - Inmuebles,2026-01-06,2026-01,I Trimestre,Masculino,Entre 31 y 40 años,Regional,Cajamarca,Gobiernos Regionales,Administración,Jefe,"Planeamiento y Programación, Gestión de Adquisiciones, Administración de Bienes Muebles - Almacenamiento y Distribución, Administración de Bienes Muebles - Patrimonio, Administración de Bienes Inmuebles",Superior Universitario,DL 728,UNIDAD EJECUTORA - PROGRAMAS REGIONALES PRO REGION,1335,a50dc75b4b4b
TALLER,VIRTUAL,REGISTRO DE INFORMACIÓN DE BIENES INMUEBLES Y SU ASEGURAMIENTO EN EL REPOSITORIO DE BIENES DE LA DIRECCIÓN GENERAL DE ABASTECIMIENTO,Administración de Bienes - Inmuebles,2026-01-06,2026-01,I Trimestre,Femenino,Entre 31 y 40 años,Regional,Piura,Salud,Patrimonio,Jefe,"Administración de Bienes Muebles - Patrimonio, Administración de Bienes Inmuebles",Superior Universitario,DL 276,UNIDAD EJECUTORA N° 403 - SALUD MORROPON CHULUCANAS,1026,113d45866a81
TALLER,VIRTUAL,REGISTRO DE INFORMACIÓN DE BIENES INMUEBLES Y SU ASEGURAMIENTO EN EL REPOSITORIO DE BIENES DE LA DIRECCIÓN GENERAL DE ABASTECIMIENTO,Administración de Bienes - Inmuebles,2026-01-06,2026-01,I Trimestre,Masculino,Entre 31 y 40 años,Regional,Cajamarca,Gobiernos Regionales,Abastecimiento,Jefe,"Gestión de Adquisiciones, Administración de Bienes Muebles - Almacenamiento y Distribución, Administración de Bienes Muebles - Patrimonio, Administración de Bienes Inmuebles, Otras actividades",Superior Universitario,CAS,UNIDAD DE GESTION EDUCATIVA LOCAL DE LA PROVINCIA DE HUALGAYOC,1355,c42d28361c1c
TALLER,VIRTUAL,REGISTRO DE INFORMACIÓN DE BIENES INMUEBLES Y SU ASEGURAMIENTO EN EL REPOSITORIO DE BIENES DE LA DIRECCIÓN GENERAL DE ABASTECIMIENTO,Administración de Bienes - Inmuebles,2026-01-06,2026-01,I Trimestre,Masculino,Entre 31 y 40 años,Regional,Cajamarca,Salud,Almacén,Jefe,"Administración de Bienes Muebles - Almacenamiento y Distribución, Administración de Bienes Muebles - Patrimonio",Superior Universitario,DL 276,UNIDAD EJECUTORA - RED DE SALUD CAJAMARCA,1712,fb57fe383e7d
TALLER,VIRTUAL,REGISTRO DE INFORMACIÓN DE BIENES INMUEBLES Y SU ASEGURAMIENTO EN EL REPOSITORIO DE BIENES DE LA DIRECCIÓN GENERAL DE ABASTECIMIENTO,Administración de Bienes - Inmuebles,2026-01-06,2026-01,I Trimestre,Femenino,Entre 41 y 50 años,Local,Cajamarca,Gobiernos Locales,Patrimonio,Jefe,Administración de Bienes Muebles - Patrimonio,Superior No Universitario,CAS,MUNICIPALIDAD DISTRITAL DE TUMBADEN,300665,03c6519cfd4a
TALLER,VIRTUAL,REGISTRO DE INFORMACIÓN DE BIENES INMUEBLES Y SU ASEGURAMIENTO EN EL REPOSITORIO DE BIENES DE LA DIRECCIÓN GENERAL DE ABASTECIMIENTO,Administración de Bienes - Inmuebles,2026-01-06,2026-01,I Trimestre,Masculino,Entre 31 y 40 años,Local,Cajamarca,Gobiernos Locales,Patrimonio,Analista,"Administración de Bienes Muebles - Patrimonio, Administración de Bienes Inmuebles",Superior Universitario,CAS,MUNICIPALIDAD DISTRITAL DE SITACOCHA,300565,bb864531abab
TALLER,VIRTUAL,REGISTRO DE INFORMACIÓN DE BIENES INMUEBLES Y SU ASEGURAMIENTO EN EL REPOSITORIO DE BIENES DE LA DIRECCIÓN GENERAL DE ABASTECIMIENTO,Administración de Bienes - Inmuebles,2026-01-06,2026-01,I Trimestre,Masculino,Entre 51 y 60 años,Regional,Cajamarca,Gobiernos Regionales,Logística,Jefe,"Planeamiento y Programación, Gestión de Adquisiciones, Administración de Bienes Muebles - Almacenamiento y Distribución, Administración de Bienes Muebles - Patrimonio",Superior Universitario,DL 728,UNIDAD EJECUTORA - PROGRAMAS REGIONALES PRO REGION,1335,fa6fc00a0fd5
TALLER,VIRTUAL,REGISTRO DE INFORMACIÓN DE BIENES INMUEBLES Y SU ASEGURAMIENTO EN EL REPOSITORIO DE BIENES DE LA DIRECCIÓN GENERAL DE ABASTECIMIENTO,Administración de Bienes - Inmuebles,2026-01-06,2026-01,I Trimestre,Masculino,Entre 41 y 50 años,Local,Cajamarca,Gobiernos Locales,Patrimonio,Jefe,"Administración de Bienes Muebles - Patrimonio, Administración de Bienes Inmuebles",Superior Universitario,CAS,MUNICIPALIDAD DISTRITAL DE MAGDALENA,300557,302f34b66d7d
TALLER,VIRTUAL,REGISTRO DE INFORMACIÓN DE BIENES INMUEBLES Y SU ASEGURAMIENTO EN EL REPOSITORIO DE BIENES DE LA DIRECCIÓN GENERAL DE ABASTECIMIENTO,Administración de Bienes - Inmuebles,2026-01-06,2026-01,I Trimestre,Femenino,Entre 20 y 30 años,Regional,Piura,Educación,Infraestructura,Especialista,Administración de Bienes Inmuebles,Superior Universitario,Otros,UNIDAD DE GESTION EDUCATIVA LOCAL DE PAITA,1395,ade94c62599a
TALLER,VIRTUAL,REGISTRO DE INFORMACIÓN DE BIENES INMUEBLES Y SU ASEGURAMIENTO EN EL REPOSITORIO DE BIENES DE LA DIRECCIÓN GENERAL DE ABASTECIMIENTO,Administración de Bienes - Inmuebles,2026-01-06,2026-01,I Trimestre,Masculino,Entre 20 y 30 años,Regional,Piura,Gobiernos Regionales,Contabilidad,Asistente,Otras actividades,Superior Universitario,Otros,DIRECCION REGIONAL DE TRANSPORTES Y COMUNICACIONES DE PIURA,895,d32da60f9577
TALLER,VIRTUAL,REGISTRO DE INFORMACIÓN DE BIENES INMUEBLES Y SU ASEGURAMIENTO EN EL REPOSITORIO DE BIENES DE LA DIRECCIÓN GENERAL DE ABASTECIMIENTO,Administración de Bienes - Inmuebles,2026-01-06,2026-01,I Trimestre,Masculino,Entre 31 y 40 años,Nacional,Piura,Interior,Patrimonio,Jefe,Administración de Bienes Muebles - Patrimonio,Superior Universitario,Otros,REGION POLICIAL PIURA,27,f6fc46004fc6
TALLER,VIRTUAL,REGISTRO DE INFORMACIÓN DE BIENES INMUEBLES Y SU ASEGURAMIENTO EN EL REPOSITORIO DE BIENES DE LA DIRECCIÓN GENERAL DE ABASTECIMIENTO,Administración de Bienes - Inmuebles,2026-01-06,2026-01,I Trimestre,Masculino,Mayor a 61 años,Local,Piura,Gobiernos Locales,Patrimonio,Sub Gerente,"Administración de Bienes Muebles - Patrimonio, Administración de Bienes Inmuebles",Superior Universitario,DL 728,MUNICIPALIDAD PROVINCIAL DE PAITA,301566,b2cc4cbbd54c
TALLER,VIRTUAL,REGISTRO DE INFORMACIÓN DE BIENES INMUEBLES Y SU ASEGURAMIENTO EN EL REPOSITORIO DE BIENES DE LA DIRECCIÓN GENERAL DE ABASTECIMIENTO,Administración de Bienes - Inmuebles,2026-01-06,2026-01,I Trimestre,Femenino,Entre 20 y 30 años,Local,Cajamarca,Gobiernos Locales,Logística,Responsable,"Administración de Bienes Muebles - Almacenamiento y Distribución, Administración de Bienes Muebles - Patrimonio",Superior Universitario,CAS,MUNICIPALIDAD DISTRITAL DE JESUS,300554,a31984373046
TALLER,VIRTUAL,REGISTRO DE INFORMACIÓN DE BIENES INMUEBLES Y SU ASEGURAMIENTO EN EL REPOSITORIO DE BIENES DE LA DIRECCIÓN GENERAL DE ABASTECIMIENTO,Administración de Bienes - Inmuebles,2026-01-06,2026-01,I Trimestre,Femenino,Entre 31 y 40 años,Regional,Piura,Gobiernos Regionales,Patrimonio,Asistente,Administración de Bienes Muebles - Patrimonio,Superior Universitario,DL 276,GERENCIA SUB REGIONAL DE MORROPON HUANCABAMBA,1114,bcbf56c8ab78
TALLER,VIRTUAL,REGISTRO DE INFORMACIÓN DE BIENES INMUEBLES Y SU ASEGURAMIENTO EN EL REPOSITORIO DE BIENES DE LA DIRECCIÓN GENERAL DE ABASTECIMIENTO,Administración de Bienes - Inmuebles,2026-01-06,2026-01,I Trimestre,Masculino,Entre 31 y 40 años,Regional,Piura,Agricultura y Riego,Patrimonio,Asistente,"Administración de Bienes Muebles - Patrimonio, Administración de Bienes Inmuebles, Otras actividades",Superior No Universitario,Otros,PROYECTO ESPECIAL CHIRA PIURA,1141,19450fb56802
TALLER,VIRTUAL,REGISTRO DE INFORMACIÓN DE BIENES INMUEBLES Y SU ASEGURAMIENTO EN EL REPOSITORIO DE BIENES DE LA DIRECCIÓN GENERAL DE ABASTECIMIENTO,Administración de Bienes - Inmuebles,2026-01-06,2026-01,I Trimestre,Femenino,Entre 41 y 50 años,Local,Piura,Gobiernos Locales,Administración,Gerente,"Administración de Bienes Muebles - Almacenamiento y Distribución, Administración de Bienes Muebles - Patrimonio, Administración de Bienes Inmuebles",Superior Universitario,CAS,MUNICIPALIDAD PROVINCIAL DE AYABACA,301538,417ef989a3c0
TALLER,VIRTUAL,REGISTRO DE INFORMACIÓN DE BIENES INMUEBLES Y SU ASEGURAMIENTO EN EL REPOSITORIO DE BIENES DE LA DIRECCIÓN GENERAL DE ABASTECIMIENTO,Administración de Bienes - Inmuebles,2026-01-06,2026-01,I Trimestre,Masculino,Entre 51 y 60 años,Nacional,Piura,Interior,Administración,Jefe,"Planeamiento y Programación, Gestión de Adquisiciones, Administración de Bienes Muebles - Almacenamiento y Distribución, Administración de Bienes Muebles - Patrimonio, Administración de Bienes Inmuebles",Superior Universitario,Otros,REGION POLICIAL PIURA,27,e6a8d2dfc0c2
TALLER,VIRTUAL,REGISTRO DE INFORMACIÓN DE BIENES INMUEBLES Y SU ASEGURAMIENTO EN EL REPOSITORIO DE BIENES DE LA DIRECCIÓN GENERAL DE ABASTECIMIENTO,Administración de Bienes - Inmuebles,2026-01-06,2026-01,I Trimestre,Masculino,Entre 41 y 50 años,Regional,Cajamarca,Educación,Presupuesto,Especialista,Planeamiento y Programación,Superior Universitario,CAS,UNIDAD DE GESTION EDUCATIVA LOCAL SAN MIGUEL,1383,1f268b1f70ee
TALLER,VIRTUAL,REGISTRO DE INFORMACIÓN DE BIENES INMUEBLES Y SU ASEGURAMIENTO EN EL REPOSITORIO DE BIENES DE LA DIRECCIÓN GENERAL DE ABASTECIMIENTO,Administración de Bienes - Inmuebles,2026-01-06,2026-01,I Trimestre,Femenino,Entre 41 y 50 años,Regional,Amazonas,Educación,Patrimonio,Bienes Inmuebles,Administración de Bienes Inmuebles,Superior Universitario,DL 276,DIRECCION REGIONAL DE EDUCACION DE AMAZONAS CHACHAPOYAS,724,dac5512da4ba
TALLER,VIRTUAL,REGISTRO DE INFORMACIÓN DE BIENES INMUEBLES Y SU ASEGURAMIENTO EN EL REPOSITORIO DE BIENES DE LA DIRECCIÓN GENERAL DE ABASTECIMIENTO,Administración de Bienes - Inmuebles,2026-01-06,2026-01,I Trimestre,Masculino,Entre 41 y 50 años,Regional,Amazonas,Educación,Area De Gestion Institucional,Especialista En Infraestructura,"Planeamiento y Programación, Gestión de Adquisiciones",Superior Universitario,CAS,UNIDAD DE GESTION EDUCATIVA LOCAL 301 UTCUBAMBA,954,573ecfba3799
TALLER,VIRTUAL,REGISTRO DE INFORMACIÓN DE BIENES INMUEBLES Y SU ASEGURAMIENTO EN EL REPOSITORIO DE BIENES DE LA DIRECCIÓN GENERAL DE ABASTECIMIENTO,Administración de Bienes - Inmuebles,2026-01-06,2026-01,I Trimestre,Femenino,Entre 51 y 60 años,Local,Piura,Gobiernos Locales,Patrimonio,Asistente,Administración de Bienes Inmuebles,Superior Universitario,DL 276,MUNICIPALIDAD PROVINCIAL DE PAITA,301566,5e3e6635a348
TALLER,VIRTUAL,REGISTRO DE INFORMACIÓN DE BIENES INMUEBLES Y SU ASEGURAMIENTO EN EL REPOSITORIO DE BIENES DE LA DIRECCIÓN GENERAL DE ABASTECIMIENTO,Administración de Bienes - Inmuebles,2026-01-06,2026-01,I Trimestre,Femenino,Entre 31 y 40 años,Local,Piura,Gobiernos Locales,Servicios Generales,Coordinador,"Administración de Bienes Muebles - Patrimonio, Otras actividades",Superior No Universitario,CAS,MUNICIPALIDAD DISTRITAL DE BELLAVISTA DE LA UNION,301588,80aa26b7092d
TALLER,VIRTUAL,REGISTRO DE INFORMACIÓN DE BIENES INMUEBLES Y SU ASEGURAMIENTO EN EL REPOSITORIO DE BIENES DE LA DIRECCIÓN GENERAL DE ABASTECIMIENTO,Administración de Bienes - Inmuebles,2026-01-06,2026-01,I Trimestre,Femenino,Entre 41 y 50 años,Regional,Tumbes,Gobiernos Regionales,Contabilidad,Especialista,Otras actividades,Superior Universitario,CAS,GOBIERNO REGIONAL TUMBES,936,0e7b42652074
TALLER,VIRTUAL,REGISTRO DE INFORMACIÓN DE BIENES INMUEBLES Y SU ASEGURAMIENTO EN EL REPOSITORIO DE BIENES DE LA DIRECCIÓN GENERAL DE ABASTECIMIENTO,Administración de Bienes - Inmuebles,2026-01-06,2026-01,I Trimestre,Femenino,Entre 51 y 60 años,Nacional,Amazonas,Educación,Patrimonio,Jefe,"Administración de Bienes Muebles - Patrimonio, Administración de Bienes Inmuebles",Superior Universitario,DL 276,UNIVERSIDAD NACIONAL TORIBIO RODRIGUEZ DE MENDOZA DE AMAZONAS,1031,0995bb0253ae
TALLER,VIRTUAL,REGISTRO DE INFORMACIÓN DE BIENES INMUEBLES Y SU ASEGURAMIENTO EN EL REPOSITORIO DE BIENES DE LA DIRECCIÓN GENERAL DE ABASTECIMIENTO,Administración de Bienes - Inmuebles,2026-01-06,2026-01,I Trimestre,Femenino,Entre 31 y 40 años,Regional,Amazonas,Salud,Patrimonio,Jefe,Administración de Bienes Muebles - Patrimonio,Superior Universitario,CAS,HOSPITAL DE APOYO BAGUA,1101,fafffc6e6fd4
TALLER,VIRTUAL,REGISTRO DE INFORMACIÓN DE BIENES INMUEBLES Y SU ASEGURAMIENTO EN EL REPOSITORIO DE BIENES DE LA DIRECCIÓN GENERAL DE ABASTECIMIENTO,Administración de Bienes - Inmuebles,2026-01-06,2026-01,I Trimestre,Femenino,Entre 41 y 50 años,Nacional,Piura,Interior,Patrimonio,Especialista,Administración de Bienes Inmuebles,Superior Universitario,Otros,REGION POLICIAL PIURA,27,096551bf61a2
TALLER,VIRTUAL,REGISTRO DE INFORMACIÓN DE BIENES INMUEBLES Y SU ASEGURAMIENTO EN EL REPOSITORIO DE BIENES DE LA DIRECCIÓN GENERAL DE ABASTECIMIENTO,Administración de Bienes - Inmuebles,2026-01-06,2026-01,I Trimestre,Masculino,Entre 31 y 40 años,Local,Cajamarca,Gobiernos Locales,Administración,Asistente,"Administración de Bienes Muebles - Patrimonio, Administración de Bienes Inmuebles",Superior Universitario,CAS,INSTITUTO VIAL PROV. DE HUALGAYOC-BAMBAMARCA,930041,11866c1ef3c7
TALLER,VIRTUAL,REGISTRO DE INFORMACIÓN DE BIENES INMUEBLES Y SU ASEGURAMIENTO EN EL REPOSITORIO DE BIENES DE LA DIRECCIÓN GENERAL DE ABASTECIMIENTO,Administración de Bienes - Inmuebles,2026-01-06,2026-01,I Trimestre,Masculino,Entre 41 y 50 años,Regional,Piura,Gobiernos Regionales,Logística,Especialista,Gestión de Adquisiciones,Superior Universitario,Otros,DIRECCION REGIONAL DE SALUD PIURA,899,fe8ba793da33
TALLER,VIRTUAL,REGISTRO DE INFORMACIÓN DE BIENES INMUEBLES Y SU ASEGURAMIENTO EN EL REPOSITORIO DE BIENES DE LA DIRECCIÓN GENERAL DE ABASTECIMIENTO,Administración de Bienes - Inmuebles,2026-01-06,2026-01,I Trimestre,Femenino,Entre 31 y 40 años,Regional,Amazonas,Otros,Sub Gerencia De Administracion Y Adjudicacion De Terrenos De Propiedad Del Estado,Responsable Sinabip Web,Otras actividades,Superior Tecnico,Otros,GOBIERNO REGIONAL AMAZONAS - Sede Amazonas,721,f40883a0ff30
TALLER,VIRTUAL,REGISTRO DE INFORMACIÓN DE BIENES INMUEBLES Y SU ASEGURAMIENTO EN EL REPOSITORIO DE BIENES DE LA DIRECCIÓN GENERAL DE ABASTECIMIENTO,Administración de Bienes - Inmuebles,2026-01-06,2026-01,I Trimestre,Femenino,Entre 41 y 50 años,Regional,Piura,Gobiernos Regionales,Patrimonio,Especialista,Administración de Bienes Muebles - Patrimonio,Superior Universitario,DL 276,GERENCIA SUB REGIONAL DE MORROPON HUANCABAMBA,1114,d5889f387ab9
TALLER,VIRTUAL,REGISTRO DE INFORMACIÓN DE BIENES INMUEBLES Y SU ASEGURAMIENTO EN EL REPOSITORIO DE BIENES DE LA DIRECCIÓN GENERAL DE ABASTECIMIENTO,Administración de Bienes - Inmuebles,2026-01-06,2026-01,I Trimestre,Masculino,Entre 41 y 50 años,Nacional,Tumbes,Economía y Finanzas,Servicios Al Usuario,Coordinador,Otras actividades,Superior Universitario,CAS,MINISTERIO DE ECONOMÍA Y FINANZAS,46,b2a39b6d660e
TALLER,VIRTUAL,REGISTRO DE INFORMACIÓN DE BIENES INMUEBLES Y SU ASEGURAMIENTO EN EL REPOSITORIO DE BIENES DE LA DIRECCIÓN GENERAL DE ABASTECIMIENTO,Administración de Bienes - Inmuebles,2026-01-06,2026-01,I Trimestre,Masculino,Entre 41 y 50 años,Nacional,Amazonas,Ministerio Público,Patrimonio,Asistente,Administración de Bienes Muebles - Patrimonio,Superior No Universitario,DL 728,GERENCIA ADMINISTRATIVA DE AMAZONAS DEL MINISTERIO PUBLICO,1557,018fd6f5dae5
TALLER,VIRTUAL,REGISTRO DE INFORMACIÓN DE BIENES INMUEBLES Y SU ASEGURAMIENTO EN EL REPOSITORIO DE BIENES DE LA DIRECCIÓN GENERAL DE ABASTECIMIENTO,Administración de Bienes - Inmuebles,2026-01-06,2026-01,I Trimestre,Femenino,Entre 41 y 50 años,Nacional,Piura,Interior,Patrimonio,Asistente,"Administración de Bienes Muebles - Almacenamiento y Distribución, Administración de Bienes Muebles - Patrimonio",Superior No Universitario,Otros,REGION POLICIAL PIURA,27,c04cc10b4fca
TALLER,VIRTUAL,REGISTRO DE INFORMACIÓN DE BIENES INMUEBLES Y SU ASEGURAMIENTO EN EL REPOSITORIO DE BIENES DE LA DIRECCIÓN GENERAL DE ABASTECIMIENTO,Administración de Bienes - Inmuebles,2026-01-06,2026-01,I Trimestre,Masculino,Entre 51 y 60 años,Local,Cajamarca,Gobiernos Locales,Patrimonio,Jefe,"Administración de Bienes Muebles - Patrimonio, Administración de Bienes Inmuebles",Superior Universitario,DL 276,MUNICIPALIDAD PROVINCIAL DE SAN IGNACIO,300635,6985c0432009
TALLER,VIRTUAL,REGISTRO DE INFORMACIÓN DE BIENES INMUEBLES Y SU ASEGURAMIENTO EN EL REPOSITORIO DE BIENES DE LA DIRECCIÓN GENERAL DE ABASTECIMIENTO,Administración de Bienes - Inmuebles,2026-01-06,2026-01,I Trimestre,Femenino,Entre 31 y 40 años,Regional,Amazonas,Educación,Patrimonio,Responsable,Administración de Bienes Muebles - Patrimonio,Superior Universitario,CAS,UNIDAD DE GESTION EDUCATIVA LOCAL DE BAGUA,1349,b70d7eae780c
TALLER,VIRTUAL,REGISTRO DE INFORMACIÓN DE BIENES INMUEBLES Y SU ASEGURAMIENTO EN EL REPOSITORIO DE BIENES DE LA DIRECCIÓN GENERAL DE ABASTECIMIENTO,Administración de Bienes - Inmuebles,2026-01-06,2026-01,I Trimestre,Femenino,Entre 20 y 30 años,Local,Piura,Gobiernos Locales,Abastecimiento,Asistente,"Administración de Bienes Muebles - Almacenamiento y Distribución, Administración de Bienes Muebles - Patrimonio",Superior No Universitario,Otros,MUNICIPALIDAD DISTRITAL DE MANCORA,301586,9c22265678b0
TALLER,VIRTUAL,REGISTRO DE INFORMACIÓN DE BIENES INMUEBLES Y SU ASEGURAMIENTO EN EL REPOSITORIO DE BIENES DE LA DIRECCIÓN GENERAL DE ABASTECIMIENTO,Administración de Bienes - Inmuebles,2026-01-06,2026-01,I Trimestre,Femenino,Entre 20 y 30 años,Local,Amazonas,Gobiernos Locales,Abastecimiento,Asistente,Otras actividades,Superior Universitario,Otros,MUNICIPALIDAD DISTRITAL DE IMAZA,300026,78f51efd6ede
TALLER,VIRTUAL,REGISTRO DE INFORMACIÓN DE BIENES INMUEBLES Y SU ASEGURAMIENTO EN EL REPOSITORIO DE BIENES DE LA DIRECCIÓN GENERAL DE ABASTECIMIENTO,Administración de Bienes - Inmuebles,2026-01-06,2026-01,I Trimestre,Masculino,Entre 41 y 50 años,Regional,Tumbes,Salud,Patrimonio,Asesor,Otras actividades,Superior Universitario,CAS,UNIDAD EJECUTORA N° 402 - HOSPITAL REGIONAL JOSE ALFREDO MENDOZA OLAVARRIA JAMO II 2,1436,b7290cbfed5c
TALLER,VIRTUAL,REGISTRO DE INFORMACIÓN DE BIENES INMUEBLES Y SU ASEGURAMIENTO EN EL REPOSITORIO DE BIENES DE LA DIRECCIÓN GENERAL DE ABASTECIMIENTO,Administración de Bienes - Inmuebles,2026-01-06,2026-01,I Trimestre,Masculino,Entre 51 y 60 años,Local,Tumbes,Gobiernos Locales,Sub Gerencia De Educacion Y Cultura,Sub Gerente,Administración de Bienes Inmuebles,Superior Universitario,DL 276,MUNICIPALIDAD PROVINCIAL DE ZARUMILLA,301812,d010e39e22fd
TALLER,VIRTUAL,REGISTRO DE INFORMACIÓN DE BIENES INMUEBLES Y SU ASEGURAMIENTO EN EL REPOSITORIO DE BIENES DE LA DIRECCIÓN GENERAL DE ABASTECIMIENTO,Administración de Bienes - Inmuebles,2026-01-06,2026-01,I Trimestre,Masculino,Entre 51 y 60 años,Regional,Cajamarca,Educación,Patrimonio,Asistente,"Administración de Bienes Muebles - Patrimonio, Administración de Bienes Inmuebles",Superior Universitario,Otros,UNIDAD DE GESTION EDUCATIVA LOCAL SAN MIGUEL,1383,46154e901240
TALLER,VIRTUAL,REGISTRO DE INFORMACIÓN DE BIENES INMUEBLES Y SU ASEGURAMIENTO EN EL REPOSITORIO DE BIENES DE LA DIRECCIÓN GENERAL DE ABASTECIMIENTO,Administración de Bienes - Inmuebles,2026-01-06,2026-01,I Trimestre,Femenino,Entre 41 y 50 años,Regional,Piura,Comercio Exterior y Turismo,Abastecimiento,Jefe,"Gestión de Adquisiciones, Administración de Bienes Muebles - Almacenamiento y Distribución, Administración de Bienes Muebles - Patrimonio, Administración de Bienes Inmuebles",Superior Universitario,CAS,ZONA ESPECIAL DE DESARROLLO PAITA - ZED PAITA,500266,11eee558e45b
TALLER,VIRTUAL,REGISTRO DE INFORMACIÓN DE BIENES INMUEBLES Y SU ASEGURAMIENTO EN EL REPOSITORIO DE BIENES DE LA DIRECCIÓN GENERAL DE ABASTECIMIENTO,Administración de Bienes - Inmuebles,2026-01-06,2026-01,I Trimestre,Femenino,Entre 31 y 40 años,Regional,Piura,Gobiernos Regionales,Patrimonio,Asistente,"Administración de Bienes Muebles - Patrimonio, Administración de Bienes Inmuebles",Superior Universitario,DL 276,GERENCIA SUB REGIONAL DE MORROPON HUANCABAMBA,1114,4dcc333fdc32
TALLER,VIRTUAL,REGISTRO DE INFORMACIÓN DE BIENES INMUEBLES Y SU ASEGURAMIENTO EN EL REPOSITORIO DE BIENES DE LA DIRECCIÓN GENERAL DE ABASTECIMIENTO,Administración de Bienes - Inmuebles,2026-01-06,2026-01,I Trimestre,Femenino,Entre 31 y 40 años,Regional,Piura,Gobiernos Regionales,Patrimonio,Asistente,Administración de Bienes Inmuebles,Superior Universitario,Otros,DIRECCION REGIONAL DE AGRICULTURA PIURA,894,6a09f4c38eca
TALLER,VIRTUAL,REGISTRO DE INFORMACIÓN DE BIENES INMUEBLES Y SU ASEGURAMIENTO EN EL REPOSITORIO DE BIENES DE LA DIRECCIÓN GENERAL DE ABASTECIMIENTO,Administración de Bienes - Inmuebles,2026-01-06,2026-01,I Trimestre,Femenino,Entre 41 y 50 años,Regional,Piura,Salud,Patrimonio,Asistente,"Administración de Bienes Muebles - Patrimonio, Administración de Bienes Inmuebles",Superior Universitario,Otros,HOSPITAL DE APOYO II -1 NUESTRA SEÑORA DE LAS MERCEDES DE PAITA,1117,d36c92046119
TALLER,VIRTUAL,REGISTRO DE INFORMACIÓN DE BIENES INMUEBLES Y SU ASEGURAMIENTO EN EL REPOSITORIO DE BIENES DE LA DIRECCIÓN GENERAL DE ABASTECIMIENTO,Administración de Bienes - Inmuebles,2026-01-06,2026-01,I Trimestre,Masculino,Mayor a 61 años,Regional,Piura,Gobiernos Regionales,Patrimonio,Asistente,Administración de Bienes Muebles - Patrimonio,Superior Universitario,DL 276,GERENCIA SUB REGIONAL DE MORROPON HUANCABAMBA,1114,57d283aef5c9
TALLER,VIRTUAL,REGISTRO DE INFORMACIÓN DE BIENES INMUEBLES Y SU ASEGURAMIENTO EN EL REPOSITORIO DE BIENES DE LA DIRECCIÓN GENERAL DE ABASTECIMIENTO,Administración de Bienes - Inmuebles,2026-01-06,2026-01,I Trimestre,Masculino,Entre 51 y 60 años,Nacional,Amazonas,Ministerio Público,Patrimonio,Jefe,"Administración de Bienes Muebles - Patrimonio, Administración de Bienes Inmuebles",Superior Universitario,CAS,GERENCIA ADMINISTRATIVA DE AMAZONAS DEL MINISTERIO PUBLICO,1557,e3198affc04f
TALLER,VIRTUAL,REGISTRO DE INFORMACIÓN DE BIENES INMUEBLES Y SU ASEGURAMIENTO EN EL REPOSITORIO DE BIENES DE LA DIRECCIÓN GENERAL DE ABASTECIMIENTO,Administración de Bienes - Inmuebles,2026-01-06,2026-01,I Trimestre,Femenino,Entre 20 y 30 años,Local,Amazonas,Gobiernos Locales,Secretaría,Secretaria,Otras actividades,Superior Universitario,Otros,MUNICIPALIDAD DISTRITAL DE PROVIDENCIA,300057,8d9b6ea42d22
TALLER,VIRTUAL,REGISTRO DE INFORMACIÓN DE BIENES INMUEBLES Y SU ASEGURAMIENTO EN EL REPOSITORIO DE BIENES DE LA DIRECCIÓN GENERAL DE ABASTECIMIENTO,Administración de Bienes - Inmuebles,2026-01-06,2026-01,I Trimestre,Masculino,Entre 41 y 50 años,Regional,Amazonas,Educación,Infraestructura,Especialista,Otras actividades,Superior Universitario,DL 276,DIRECCION REGIONAL DE EDUCACION DE AMAZONAS CHACHAPOYAS,724,32781ce8b821
TALLER,VIRTUAL,REGISTRO DE INFORMACIÓN DE BIENES INMUEBLES Y SU ASEGURAMIENTO EN EL REPOSITORIO DE BIENES DE LA DIRECCIÓN GENERAL DE ABASTECIMIENTO,Administración de Bienes - Inmuebles,2026-01-06,2026-01,I Trimestre,Femenino,Entre 31 y 40 años,Nacional,Piura,Educación,Patrimonio,Asistente,Administración de Bienes Muebles - Patrimonio,Superior Universitario,CAS,UNIVERSIDAD NACIONAL DE FRONTERA,1373,eba3c152f391
